SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
3, 0.1600, 8, 0.00611858, -0.99458104, 0.15215634, -1.39233243, -1.36953890, 0.59902370, 1.12353194, -39.04333115, 11.34130573, 23.46796989, 7.25394535, -65.42806244, 0.81519282, -0.20424110, 0.05757575, 0.53891677, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1800, 9, -0.03081416, -1.00475729, 0.06344928, -0.27694604, -0.35919866, 0.49444202, -34.96390915, -66.29976654, 7.60586405, 90.76904297, -1.03814852, -149.38270569, -0.19164500, 0.18179351, -0.68823016, -0.67569417, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1800, 9, 0.00597032, -0.99371606, 0.15381218, -1.50669563, -0.98259753, 0.60295004, 0.08410987, -39.48228455, 11.34130573, 23.43718529, 7.24626637, -65.45220947, 0.81514490, -0.20397532, 0.05752952, 0.53909481, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2000, 10, -0.03059463, -1.00506115, 0.06395636, -0.18891591, -0.08513316, 0.26511893, -34.22084427, -66.21334076, 8.07267570, 90.76608276, -1.04349494, -149.38479614, -0.19166932, 0.18174432, -0.68822438, -0.67570639, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.2000, 10, 0.00564511, -0.99381626, 0.15108238, -1.44754434, -0.62457371, 0.63178492, 0.38108814, -39.37900162, 11.01049328, 23.44667816, 7.23337936, -65.47807312, 0.81502450, -0.20397162, 0.05771344, 0.53925860, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.2200, 11, 0.00744813, -0.99504632, 0.15081133, -1.43239391, -0.53136212, 0.60407889, 0.64836782, -39.09497452, 11.47362995, 23.41719818, 7.22455645, -65.49476624, 0.81501085, -0.20371370, 0.05766822, 0.53938162, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2200, 11, -0.02933157, -1.00484061, 0.06191587, -0.18540704, -0.09979567, 0.35391468, -34.75585175, -66.09809875, 7.43081427, 90.76273346, -1.09755754, -149.38285828, -0.19200914, 0.18142992, -0.68828601, -0.67563164, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.2400, 12, 0.00911399, -0.99482363, 0.14995798, -1.58474493, -0.86523539, 0.68051827, 0.11380847, -39.68884659, 10.87817001, 23.38474846, 7.21472597, -65.51740265, 0.81497580, -0.20342708, 0.05762676, 0.53954720, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2400, 12, -0.03006028, -1.00580370, 0.06249332, -0.19928421, -0.26045567, 0.26502648, -34.48834229, -66.27095032, 7.72256899, 90.75894165, -1.10347867, -149.38848877, -0.19201738, 0.18135470, -0.68828177, -0.67565382, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2600, 13, -0.02982482, -1.00567591, 0.06178191, -0.17454366, -0.18260296, 0.30692139, -34.48834229, -66.29976654, 8.01432323, 90.75657654, -1.10972357, -149.39244080, -0.19203514, 0.18129000, -0.68828386, -0.67566401, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
